Title,Date,Article_content,type
February tourist arrivals up 13%,"2018-05-09 09:26:47							0						 				496","�	Higher arrivals from Asia & Pacific and Europe	Chinese and Middle Eastern arrivals�slow down�Tourist arrivals to Sri Lanka for the month of April rose 12.6 percent year-on-year (YoY) to 180, 429 amid higher arrivals from Asia & Pacific and Europe, the data released by Sri Lanka Tourism Development Authority (SLTDA) showed.Arrivals from Asia & Pacific, which include North East Asia, South East Asia, Oceania and South Asia grew 8.5 percent YoY to 82, 976, with South Asia accounting for the larger share.�Arrivals from South Asian nations rose 4.7 percent YoY to 38, 299 with India leading the pack with 29, 860 tourists, up 13.4 percent YoY.Arrivals from China, which represents the North East Asia region, dropped 11.9 percent YoY to 17, 462. Japanese arrivals also grew by only 3.2 percent YoY to 3, 512.Arrivals from Oceania, which include mainly Australia and New Zealand saw a 101.3 percent YoY surge to 15, 585. A large Sri Lankan expatriate community lives in both Australia and Sri Lanka and they tend to visit Sri Lanka during April to celebrate Avurudu with their family members living here.Tourist arrivals from Europe during the month of April rose 9.7 percent YoY to 76, 366, led by United Kingdom and Germany. Tourists from UK rose 46.1 percent YoY to 26, 063 while arrivals from Germany fell by 9 percent YoY to 10, 803.Arrivals from Central and Eastern European countries fell 7.2 percent YoY 11, 597 with tourists from Russian Federation declining 12.5 percent YoY to 4, 027.Tourists from Middle East fell 26.1 percent YoY to 3, 736 with lower arrivals from all the countries in the region except for Bahrain. The anti-Muslim riots that broke out in Sri Lanka�s central hills may have contributed to this decline.Tourist arrivals from Indonesia, which is the world�s largest Islamic nation, also fell 81.3 percent YoY to 352.Meanwhile, for the first four months of this year, tourist arrivals rose 16.1 percent YoY 888, 353.Sri Lanka achieved 2.1 million tourists in 2017 despite the partial closure of the country�s main airport for about three months. The floods and the dengue epidemic also contributed to the lower than expected arrivals.�The government aims to attract three million tourists this year.�",dengue
At the end point of  tolerance,"2018-05-09 00:00:24							0						 				330","Battered Meethotamulla residents demand their landsThe time was not at all auspicious for residents of Meethotamulla area back in 2017 on April 14th when the entire country was getting ready to welcome the Sinhala and Hindu New year. The garbage mount which covers a vast area collapsed without leaving a trace of property�and 31 lives.� �The Meethotamulla garbage mount received the attention of authorities in January, 2013 when Meethotamulla Sri Rahula Vidyalaya closed down. From then many protests were staged urging the authorities to halt garbage dumping in the area. At that time around 800 tons of garbage was dumped daily in the area which covers�approximately 17 Acres.� �The residents pointed out that it was a tragedy which could have been prevented. Under the Supreme Court order SCFR 218/2009 the Colombo Municipal Council (CMC) had limited authority to dump garbage. However, contrary to the order, CMC continued to dump garbage�in this area.� �Despite the many campaigns held with the aim of eradicating dengue none of them was applicable to Meethotamulla. The area was a breeding ground for mosquitoes and there were many residents who contracted dengue. Residents in the area suffering from skin diseases and respiratory issues was common. Irrespective of the number of pleas, protests and the campaigns the authorities turned blind eye�to the issue.� �The loss of lives in April 2017 was an eye-opener to many. Some lives had to be sacrificed for the authorities to notice the issue and put a stop to the permanent dumping of garbage in Meethotamulla.� �A year has passed and there are residents in this area without homes. This is despite promises made to them by the authorities.� � Shantha Jayasinghe, a resident who lost his house and vehicle due to the collapse of the garbage mount, said that he was born and bred in the area and that the residents possessed deeds for the land they lived on. �We are not illegal residents despite some of the Media saying so� he said.� �He said that an estimate of forty Lakhs was made for the houses, but no estimate had been made so far regarding the�value of the land.� �Housing in flats� �The residents said that they were given Rs. 50,000 per month as a rent for three months. But this payment was halted after August 2017. During this period some of the residents were evacuated as they were living in areas which were identified as danger zones. Also some of the residents were evacuated considering the fact their houses were half or fully damaged. Some even got housing in flats.� �They point out that the basis of the valuation is not fair. And they again had to make requests regarding the�balance payments.� ��We had to go to Divisional Secretariat requesting for the balance of the compensation. Following a few meetings and requests being made, arrangements were made to give us the money due from August 2017,� the�residents said.� �The garbage mount still stands tall. The monument gives the indication that it is trying to relate a story about a section of the society that has been battered and betrayedKapila Perera, another resident who lost his house, said that there is another sect of residents who didn�t receive compensation. �Yes, we managed to receive compensation, but there are some residents who didn�t receive anything. There are residents who do not have title deeds, but a card instead which was given during the period of former President Ranasinghe Premadasa. But this card is not accepted anywhere nor is any guidance given to those residents,� he complained.� � Perera further said that although the media portray that 90% of the issues of the residents were solved this news is far from the reality.� �Fighting for what they deserve� ��It is indeed sad how some of the media portrayed this whole incident. Some of the people got the idea that the collapse of the garbage mount was a blessing in disguise as some residents got houses in flats. This is not true. We were left only with what we wore at that moment. Since then life has been a constant battle. We have not been given a permanent solution for the housing issue. We have to fight even to get what we deserve,� he said.� �The residents said that none of the Members of Parliament who represented the area followed up what had happened after the collapse of the dump. Adding to their woes none of the Non Governmental Organizations approached them to offer help. They live in constant fear as to what�would happen next.� ��Many promises were made. One of the promises made was to make this a green zone, but nothing has been done even after the lapse of a year. There is no plan for the next step. True, now they do not dump garbage here, but what are they going to do to the mount? It is still there. Sri Rahula Vidyalaya is still closed. Our Children faced not only health issues, but also had to deal with social concerns. Once the school was closed they were given new schools but were looked down by other students,� they said. They said that compared to other similar situations that developed in the country they were not offered any help to uplift their mental status.� ��When other disasters struck the country many steps were taken on behalf of the people�s welfare. During past disasters there was also psychological support for those affected. There were children who were to sit for the Grade five Scholarship Examination. This is one opportunity which a child gets to join a school that offers better facilities. After the devastation the children could not perform at the exam in keeping with expectations as they did not have books nor other psychological support. As parents we could not support them as we too were devastated at that time,� they said.� � The residents further said that if they aren�t provided with a reasonable solution by the Government the only option they have is to return to the area close to the garbage mount and build houses.�We were born and bred here. All our lives evolved here. If the Government is not going to dump garbage they can clear the area, improve infrastructure and give the lands back to the residents,� the residents said.� �Furthermore they said that although a committee had been set up, the only action taken so far was the removing of the Commissioner of the CMC.� ��It is not just the Commissioner who should be responsible for this. There were many people who are responsible. What is the use of removing just one official? It does not make any difference to our lives� the�residents argued.� �The garbage mount still stands tall. The monument gives the indication that it is trying to relate a story about a section of the society that has been battered and betrayed.� � When the Daily Mirror contacted Navin Mannapperuma, Director Western Province Waste Management Authority, he said that measures had been taken to make the garbage mount less active. �There are many garbage mounts like these in the world. Although many claim that the garbage here can be recycled, in reality we cannot use the entire mount for that purpose. What can be done is to make it inactive. There is a plan executed by University of Moratuwa along with the Ministry of Megapolis with regard to Meethotamulla,� he said.� � �",dengue
President saying it to retain those left with him: MR,"2018-05-08 09:23:16							19						 				7637","Responding to President Maithripala Sirisena�s statement that he won�t retire in 2020, former President Mahinda Rajapaksa told the Joint Opposition�s May Day rally in Galle yesterday that President Sirisena had to say so to hold on to those left with him today by his side.Addressing the rally which was held at the Samanala Grounds in Galle, Mr. Rajapaksa said the people rejected the United National Party (UNP), Sri Lanka Freedom Party (SLFP) and the Janatha Vimukthi Peramuna (JVP) at the previous local government election.�That was the clear mandate of the people. However, the President had to make the statement at the May Day rally to keep those who left with him by his side. Otherwise, he would lose them as well. At the same time, Mr. Sirisena is afraid of taking important decisions whereas the government keeps making unproductive decisions such as changing the day of May Day and Vesak,� he said.He said the government lacks the capability of managing the country as the number of dengue cases had increased due to mounting garbage dumps, garbage dumps have been collapsed killing people, prices of essential items including gas and milk power had increased and the underworld figures are roaming free.�Police officers have been deployed to provide security to a wedding of underworld figures. Police baton charges women. The government is incapable of administrating a Grama Niladhari areas let alone a country,� he said.Referring to the Salawa Army Camp Fire, he said the incident was not an accident but a planned event. ""Salawa was exploded systematically. Still, no compensation had been paid to the victims,"" Mr.Rajapaksa said.Meanwhile, he said both the President and the Prime Minister were attempting to outdo each other. �The President said the Premier was surrounded by the corrupt and the Premier set the trap for the President�s Chief of Staff,� he said.Taking a swipe at the government for fiscal mismanagement, Mr. Rajapaksa said they would salvage the country from what he called a �state financial terrorism,��We are ready to fight the state financial terrorism which burdens the masses. We won�t dance to the tune of the International Monetary Fund (IMF) or other powerhouses,� he said.A number of JO MPs including it�s Leader Dinesh Gunawardane, Wimal Weerawansa, Ramesh Pathirana, Pavithra Wanniarachchi, Gamini Lokuge, Vasudeva Nanayakkara, Udaya Gammanpila and party leaders including Professor G.L. Peiris, Professor Tissa Witharna and many other attended the May Day Rally (Lahiru Pothmulla and D.G. Sugathapala)",dengue
March tourist arrivals up 24% despite communal clashes,"2018-04-10 00:00:27							0						 				1169","�Despite the communal clashes that unsettled Sri Lanka�s hill country during the first two weeks of March, the tourist arrivals to the island nation in the same month grew 24.1 percent to 233,382, the data released by Sri Lanka Tourism Development Authority (SLTDA) showed.�However, this strong growth comes from a low base last year, due to the partial closure of the country�s main airport in Katunayake.According to the SLTDA, Europe continued to be the largest source of tourist traffic to Sri Lanka, accounting for 53 percent of the total arrivals received in March 2018. Asia and the Pacific accounted for 38 percent of the total traffic, America 7 percent, Middle East one percent and Africa one percent.��India, the United Kingdom, Germany, China and France were Sri Lanka�s top five international tourist-generating markets during March.� India was the largest source of tourist traffic with 13 percent of the total traffic received in March. The United Kingdom also accounted for 13 percent of the total traffic, while Germany, China and France accounted for 11 percent, 9 percent and 6 percent, respectively.� �Tourist arrivals from India during March rose 13 percent year-on-year (YoY) to 30,583, while arrivals from the United Kingdom rose 56.1 percent YoY to 30,366.�Visitors from Germany rose 60.6 percent YoY to 24,423, while from France the arrivals rose 29 percent YoY to 14,818.Tourist arrivals from China fell 4.8 percent to 21,101.An analysis of arrivals by regions showed Europe leading the pack with 124,144 tourists during March, recording a growth of 44.5 percent YoY.Arrivals from Asia and the Pacific edged up 2.2 percent YoY to 88,299, while arrivals from the Americas rose 61 percent YoY 16,006.Tourists from Oceania, which includes Australia and New Zealand, rose 58.2 percent YoY to 9,966.�Visitors from the Middle East fell 26.6 percent YoY to 3,520, which could be directly attributed to the communal violence prevailed during the early weeks of the month.To tame the violence that erupted between the extremist factions of Sinhala and Muslim communities, the government had to declare a state of emergency and ordered a social media blackout, which lasted almost a week, even after the hostilities ended.� Due to the police curfew that prevailed, the tourists in Kandy were trapped in their hotels and had to use their passports as curfew passes to leave the area. However, there were no reports of any tourist being harmed.� �Meanwhile, on a cumulative basis, tourist arrivals to Sri Lanka in the first quarter of 2018 rose 17.1 percent YoY to 707, 924.Sri Lanka achieved 2.1 million tourists in 2017 despite the partial closure of the country�s main airport for about three months. The floods and the dengue epidemic also contributed to the lower than expected arrivals.�The government aims to attract three million tourists this year.��",dengue
Sri Jayewardenepura Uni organises �Strangers 2018� The biggest adventure in life is to,"2018-04-06 01:01:22							0						 				741","Life is either a great adventure or nothing, yet the biggest adventure you can take is to live the life of your dreams. While walking through the paths of life we come cross many strangers.� ��Strangers� is a leadership programme with adventurous games and activities organized by the Marketing Management Association (MMA) of the Faculty of Management Studies and Commerce (FMSC) of the University of Sri Jayewardenepura (USJP). The Strangers is the only Sri Lankan inter-university room organized by a�single department.��The Strangers has its origins back to the year 2013. This event is exclusively for the first year students of the FMSC with the prime inception of strengthening friendly bonds among the fresh blood. While enriching their inspiration, motivation and a pinch of creativity and imagination, it provides a useful opportunity where one can learn and experience the fun of competing and�team spirit.��Accordingly, with the prime intention of strengthening tomorrow�s leadership by improving mental and physical fitness along with promoting good health and well-being, the programme, �Strangers� assist the participants to be fully equipped with knowledge, skills and attitudes. Strangers commenced its opening ceremony on the 11th of June 2015 at the Kasa Gas Sewana of the USJP, with the participation of students from both local and foreign universities, several Sri Lankan artistes along with the other distinguished guests from the university, and the corporate sector.� �Strangers 2013 led off with the inauguration ceremony at the kasa gas sewana of USJP for the fourth time, with a magnificent step forward by opening up the romping adventure game to corporate members. Participants were clustered into ten groups. The adventurous game began and was conducted in Belihuloya and Ella for three days at a stretch, followed by a grand awarding ceremony.��The Strangers is an extraordinary opportunity to build Sri Lankan tourism, and most importantly, �Strangers� engages in various activities. Last year Strangers shouldered a special project regarding Dengue prevention and awareness. This year, Strangers 2018 is� looking forward to launching many more innovative projects.� �For further information contact - Vimukthi 0710555809�",dengue
New Colombo Mayor launches Mosquito Control Week,"2018-04-04 08:56:27							1						 				4123",A Mosquito Control Week conducted by the Public Health Department of the Colombo Municipality was inaugurated by the newly elected Mayor Rosy Senanayake at the Town Hall premises yesterday.Municipality�s Chief Medical Officer of Health Dr. Ruwan Wijayamuni said the Mosquito Control Week was organised in collaboration with the Health Ministry and the Presidential Task Force to prevent possible outbreaks of Dengue with the forthcoming monsoon season.,dengue
Rosy Senanayake believes Colombo could be better than Malaysia,"2018-03-29 00:00:01							26						 				15661","Colombo�s first female Mayor Rosy Senanayake assumed duties last week and is in the process of �setting things right� at the Colombo Municipal Council (CMC). During the run-up to the elections, Senanayake presented an elaborate manifesto addressing various issues in and around Colombo. One of her primary focuses includes developing underserved development areas. �The beauty of Colombo is that it�s a multi-religious, multi-ethnic and multi-cultural city,� she said in an interview with the Daily Mirror.�Excerpts:��	We are contracted to provide 700 metric tonnes of mixed garbage for this project by August 2019	The Govt. has identified Aruwakkalu as a permanent dumping place	The Govt. is in the process of streamlining the property registration process in the CMC	We have a waste-to-energy project which the Municipality has signed with a private entity	Social welfare projects would be concentrated 100% on these underserved development areas��Q� What are the immediate challenges that you have faced and would address in the near future?We have actually looked at a few (challenges), but garbage remains our number one priority. We had a meeting with the Prime Minister last week because we faced a crisis situation since the authorities at Muthurajawela stopped collecting mixed waste. We then had to negotiate with the Minister and within 48 hours we dumped the collection. I also believe that the residents have a responsibility in segregating the garbage. I have informed the Municipality to educate the residents because they cannot haphazardly dispose of garbage. We have a waste-to-energy project which the Municipality has signed with a private entity which would get off the ground by the end of 2019. A meeting was held and this will continue every month to see how far they have progressed. We are contracted to provide 700 metric tonnes of mixed garbage for this project by August 2019. By then I believe that most of our problems would be solved given that this project takes off.� �In the past, the Governments had not realized how waste could be a money-spinner. There are many facets and uses of waste. We also have had discussions to improve the health and sanitation sector next. The dengue mosquito and the epidemic normally happen in a cycle of twice every year. So we are getting ready to minimize the effects of breeding grounds. The Government is in the process of streamlining the property registration process in the CMC. The project spearheaded by the Ministry of Development Strategies and International Trade is aimed at enhancing investment climate and paving the way for taxpayers to receive an efficient service at comparatively less cost. For this there are three stakeholders namely the Registrar General�s Office, the CMC and the Survey Department. We just signed the MoU with them. For the time being it�s a manual process and earlier to register the property in Colombo it took more than 30 days. The MoU will enable us to share information among all stakeholders. We are also preparing for Vesak.As Sri Lankans we need to celebrate all festivals. The beauty of Colombo is that it�s a multi-religious, multi-ethnic and multi-cultural city and we have always lived in harmony no matter what happens in the rest of the country. Hence, we have co-existed and therefore we need to celebrate each one�s cultural background and customs. There will be open houses and the municipality will encourage co-existence among different cultural communities. We are looking at the housing, underserved settlements and their needs etc.� �We have already appointed a committee to empower women and look into their needs and bring in multi-serving and multi-purpose community centres�Q� The CMC was in the news for several incidents related to bribery and corruption. How would you streamline the activities within�the Council?�Firstly it is about bringing in e-governance and instilling discipline in the Council. I�m also working on a mechanism to bring everyone to work, hence improving the quality of work. I also need to establish a Human Resource Department because roughly about 9000 people work here and there�s also a need to establish a few departments which are not in existence at the moment. Then we also could look at the social welfare and reward people for the work that they do, give them the incentives to come to work and put the place right.�They need to work with the correct frame of mind. If I am to train them on how to think creative and think global and move from where we are then I would do that as well. I strongly believe that Colombo could be better than Singapore or Malaysia. A little bit of effort and leadership is what is needed along with the right mechanism to take this city to heights beyond expectations.� �The beauty of Colombo is that it�s a multi-religious, multi-ethnic and multi-cultural city and we have always lived in harmony no matter what happens in the rest of the country�Q� A recent report by a Presidential Commission revealed that the Meethotamulla tragedy was the result of the municipality failing to carry out proper garbage disposal methods. What are your comments?�That�s the past and it was beyond my control. I need to study the report and understand the drawbacks. We are looking at the way forward. This is why we had discussions about the waste-to-energy project, consultations with the Megapolis Minister and PM to address the waste issue. In the past, Meethotamulla was a disaster because in order to beautify Colombo, waste was taken and dumped in our neighbour�s garden amidst their protests. These things were done in a haphazard way since the demise of Ranasinghe Premadasa. I don�t think successive Governments had any plans regarding what to do with Colombo�s waste or waste at large around the country.The present Government has identified Aruwakkalu as a permanent dumping place and they are now doing the groundwork. I�m looking at managing and handling Colombo city�s waste from the time I took over. But I would certainly study the report and see where we went wrong. Each ward member will have an App, so the residents of that ward can keep in touch with the member. Therefore ward members could educate their residents and get� them to be more responsible of keeping the city clean. Now that we have 47 wards in the six districts and having 47 ward members, putting in money to those wards to carryout the necessary infrastructure development I�m sure that we would be able to see a stronger and a better Colombo. This is �Our Colombo� as written in my slogan and this city is our responsibility. I�m hoping that the residents would support. My appeal to every member of the Municipality is to support us in our work, irrespective of their parties. Let�s start putting the city first.�In the past, the Governments had not realized how waste could be a money-spinner. There are many facets and uses of waste�Q� A majority of citizens in Colombo are from underprivileged areas.�You have said that the development of these areas will be prioritized. What is your plan?�My primary focus even with the 25 multi-purpose community centres is on the underserved areas because 1/3rd of the population lives in those areas. When I spoke about mixed garbage, when people don�t adhere to the norms, they all come from underserved areas. That�s not because they don�t understand or they are not disciplined; it is because they don�t have the provision. A normal house might have space to keep three different bins, but in a watte (A small area where people live), inside a tiny little room with five families I don�t think there�s room to put a bin. Therefore I have been telling the ward members to find a common place in the watte where the municipality can install a garbage disposal system.We need to look at housing, sanitation and water for them. When I spoke about maternity clinics and dispensaries I was addressing the underserved development areas. When it comes to social welfare projects it would be 100% concentrated on these underserved development areas. I had a discussion with a foreign diplomat to establish three vocational training centres and daycare centres because I want to increase the female participation in the labour force. In order to do that I need to develop the infrastructure including affordable day care centres, safe transportation, flexible hours created and so on. We would also be having a daycare for the Municipality. When we improve the lifestyles of people in these areas then major projects such as sewer lines, waste water, drainage and mass scale housing projects will be in our long term development plans.� �Each ward member will have an App. Therefore ward members could educate their residents and get� them to be more responsible of keeping the city clean�Q� Will future development activities of the city incorporate the �wathu� system or would they be demolished?� �It all depends. We still have to consider the availability of land to see the possibility of building houses for them. We have already appointed a committee to empower women and look into their needs and bring in multi-serving and multi-purpose community centres. Most of my plans will be focused on developing underserved development areas.� ��Q� Many people travel to Colombo daily to engage in work. Those such as tourists visit Colombo for leisure. How would you plan to develop facilities in a way that would benefit those visiting the city?� �The residents are approximately 550,000 people whereas about 600,000 migrate on a daily basis. This is why we had a discussion with the Architects� Association from the Chairman to the secretary who met with the Engineering Department and our architects to find out how to safeguard the cultural heritage. They want to focus on parks and improving services for the migrant citizens coming in on a daily basis because we have some major schools in the country. These include everything from public toilets, resting places, opening up more areas to have recreation facilities for families around the Beira, the Fort area and so on. We are also considering the buildings that have a heritage value and plan to restore and maintain them and give Colombo a new outlook. They were very enthusiastic and this is the groundwork that we would be doing during next three months. We would be able to see some tangible results hopefully.� �Firstly it is about bringing in e-governance and instilling discipline in the Council. I�m also working on a mechanism to bring everyone to work�Q� Many CMC workers are senior citizens who work day in and day out and receiving minimum wages. Are there plans to increase their salaries and incentives?� �That was one of the first questions I asked the department heads when I assumed duties. I want to read those contracts because we outsource many of these work. In those outsourcing contracts there are minimum age and salary scales. I have given all these contracts to my legal team to study them. I have advised the department heads to thoroughly review those contracts and to inform these people to be present at work, to adhere to what is written in the contract or step down. In future when we sign contracts we need to be specific about certain things such as salaries, age etc. This is why I need a HR department established.� ��Q� In a previous interview you mentioned about establishing rehabilitation centres for the youth. Along with these centres, how would the drug menace be mitigated in future?� �That is something that I have promised and would be doing within the next couple of months. I�m waiting for the Council to be formed in order to bring in resolutions to do many other things that are included in my manifesto. That�s a huge menace and it�s not an issue with just one strata of society, but it exists at every level. Much needs to be invested in terms of technical assistance and finances, but we would eventually make it a reality.� ��Q� During the previous Government most of the beautification projects were carried out under the purview of the Urban Development Authority (UDA). Why didn�t the CMC get involved?� �Some of the projects such as housing and infrastructure development with sewer waste etc would be done with the line ministries and the Central Government. The funding will also have to come from the Central Government. But the CMC can handle basic beautification projects. For example the Independence Square belongs to the UDA and we need to consider people who just park their vehicles and leave. I have instructed them to have an authorized parking space. When you have restrictions people can walk to their destination. I�ll also have to work with the Health Ministry and several other ministries in certain projects.� ���",dengue
Mobitel takes the lead in helping combating Dengue among school children with the  �DengueFreeChild� app,"2018-03-28 10:34:37							0						 				761","(From Left) Mr. Sunil Hettiarachchchi, Secretary � Ministry of Education, Mr. P. G. Kumarasinghe Sirisena, Chairman � Sri Lanka Telecom & Mobitel and Dr. Sarath Amunugama, Deputy Director General, Public Health Services officially launching the �DengueFreeChild� app.Mobitel, Sri Lanka�s National Mobile Service Provider, launched an innovative mobile app to help combat the spread of Dengue among school children in Sri Lanka at a special event held at the BMICH on 27 March 2018.The �DengueFreeChild� app was developed by Mobitel in collaboration with the Ministry of Education, the Ministry of Health, the University of Colombo and Nanyang Technological University in Singapore. The app enables users to proactively report of Dengue or suspected Dengue fever so that action can be taken to the premises around which the infection is prevalent for mosquito breeding areas as well as to alert other parents to keep a keen eye on Dengue-like symptoms in their own children.Around 30 percent of all Dengue patients who sought treatment in 2017 were children, according to the data collected by the National Dengue Control Unit of the Ministry of Health.��Early diagnosis of Dengue can save a child�s life,� says Dr. Hasitha Tissera, National Coordinator of the National Dengue Control Unit. �We have found that early diagnosis of Dengue and immediate treatment almost always leads to a complete recovery. The need for parents and carers to be alert and aware of the possibility of Dengue symptoms in their children cannot be overstated.�Recent statistics revealed that there are nearly 4.4 million students in more than 10,000 schools across Sri Lanka today. As the Dengue mosquito is reported to be active during the morning hours, students are all at greater risk of being infected if mosquito breeding grounds exist in schools and surrounding areas. The app creates awareness and allows sharing of information quickly that enables parents and school authorities to take preventive action to stop the spread of Dengue. Ministry of Education through Health and Nutrition Division is actively contributing to maintain schools free of dengue breeding sites. Therefore, this new app will help them to monitor the situation more closely.The �DengueFreeChild� app has been created with separate user access for government officials and school authorities, in addition to the general public use of sharing and accessing information about Dengue patients.�Dengue has become a critical national health issue, and as the National Mobile Service Provider, we had a responsibility to find ways to combat this disease,� says Isuru Dissanayake - Senior General Manager Marketing, Mobitel. �We are proud to collaborate with the Ministry of Education, the Ministry of Health, the University of Colombo and Nanyang Technological University in Singapore to design and develop this timely and much-needed application. It gives us immense satisfaction to leverage on our specialized mobile technology to enhance the wellbeing of the children of our country.��The �DengueFreeChild� app is now available for free download by Android Users on Google Play Store.�						* Dailymirror.lk neither liable nor responsible for any information / contents published in this article",dengue
�Flower  buds�  that didn�t bloom  !,"2018-03-27 00:00:40							0						 				688","These are tragic tales of the lives of some innocent parents who were compelled to grin and bear tragedies. These tragedies happened when their kids� breathed their�last recently.� �For many years, it has been reported that the dengue mosquitoes were active and were sucking the blood of the people from all walks of life. But it is ironic that such tragedies befall on innocent kids. The loss of such kids is felt by their parents forever. It is not only the dengue mosquito, but also the lives of the infants that have been snuffed out in various devilish forms from time to time.� �Among those who died recently was a son by the name Shalika Shehan. This child is said to have lived with much hope. Having lived in Kalutara area, he was first educated at Kalutara Maha Vidyalaya and later enrolled at Royal College, Colombo. He showed a keen interest in education and extra-curricular activities. He had just sat for the Advanced Level Examination when this tragedy took place. When the son worshiped his father, who was about to leave home, he might not have thought that it was the last time he would get to worship his dad. Shehan, who died of a sudden heart attack, was also denied of the opportunity to know that he had obtained many distinctions at A/Level Examination. The house where he lived is isolated today.� ��Among those who died recently was a son by the name Shalika Shehan. This child is said to have lived with much hopeAnother death� �Another �flower bud� named Dewindi, who lived under the parents care, had a similar tragedy. She studied in grade 5 in Thri/Padavipura Jayanthi Wewa School. The cartoon �hero� in a TV. Programme, that was shown on the TV, Influenced her to imitate this character and his actions. One such feat that repeated was binding a creeper around her neck. This resulted in the unfortunate death of tiny Dewindi. This is how she said goodbye to life at an unexpected moment.� �Small children are like flowers. Their small hearts are warmed with the love and affection they show for fauna and flora. Susith Nirmal who lived in Inuwila in Chilaw also died unexpectedly. He was a resident of Samindugama (an area spanning 40 acres), in Chilaw. He had gone to the jungle with the hope of catching parrots with an unknown person. This person has had the habit of visiting the village to pluck king coconuts. But, he was unable to fulfill his expectations of catching parrots which was child�s hobby. It is said that this boy had been sexually abused, the incident leading to his death. It was after several days that the boy�s remains were found. The remains of the boy were found in a jungle in Inuwila.� �Even before the flames of Susith�s funeral pyre died down the death of another child, this time a daughter, was recorded. The name of the deceased was Saheli Niwarthika. She was a grade four student and attended Buddhist Primary school in Dehiowita. She was very humble and obedient to her teachers. The children in her class had to walk on the coconut shells as part of an extra-curricular activity, prescribed in the syllabus. The children in this class were seen practicing this activity earnestly on the gravel-less ground. Therefore, it was a frequent sight for the teachers to see these kids practice.� �All of a sudden, small Saheli had collapsed on the ground while trying this exercise. In spite of the fact that Saheli was hospitalized by the teachers concerned, she died unexpectedly.� �The daughter, Madubhashini Buddhika Liyanage (16) was another student who faced an untimely tragedy as all others mentioned here. She studied in grade eleven in Udagama Maha Vidyalaya in Atabage in Gampola. She was a resident of Deniyagama area in Millagahamula in Gampola. She was well versed in music.� �She played the violin well and was a gifted singer. She also attended dancing classes with her classmates. She had dropped her head saying that she was having a severe headache. Despite being taken to the nearby rural hospital for treatment, her condition had worsened. She was admitted to the Gampola Hospital for further treatment as per the medical instructions, but her life could not be saved.� �However, it is clear that these deaths have left a clear message�for us.��Malnutrition also causes�untime deaths�According to Nutritionist, Harshani Meegaswatte, obesity has become an issue, especially among urban children. But, there are also children who suffer from malnutrition despite food being available at homes. Although some mothers give food to their children these diets aren�t balanced. Most children as a result don�t carry the proper weight for their age. The weight of some children are below average. Some children don�t have breakfast. Such children have their first meal during the interval.� �She added that it was not only child abuse, but malnutrition that has brought untimely deaths to children. These factors are the causes for their malnutrition, she emphasized.��it was not only child abuse, but malnutrition that has brought untimely deaths to children�",dengue
Lankan formulates mosquito repellent,"2018-03-26 00:03:25							0						 				678","Says it addresses all factors that attract mosquitoesTo repel the mosquitoes that spread dengue, filaria and malaria, an engineer has formulated a liquid.�This liquid is pleasant to smell as well as it is safe on the human body.� It will smell for only five minutes but it can repel mosquitoes for 12 to 14 hours,�� Eng. �Rakitha Brito said. �The liquid will not affect children or pregnant women,� he claimed.�I have taken so much of time and energy to do the research and analysed the solution for the problem.� The main cause mosquitoes get attracted to human body is breathing -the release of carbon dioxide and the rate of releasing carbon dioxide is more in pregnant women.����When exercising there will be more chemical reaction in the human body and it will release lactic acid during the session, so that mosquitoes will be attracted to it according to research.Alcohol also attracts mosquitoes,� he said.� ��All over the world, people are still working on a solution to this.� Yet, the sprays aren�t effective and there are many side effects. �Normally we can prevent mosquitoes by preventing dark coloured clothes.We should use yellow lights at home. We also could use Lavender and Maduruthalaa to repel mosquitoes.���I wanted to repel mosquitoes instead of killing them. The liquid gives a smell, which is not tolerated� by mosquitoes and functions as a repellent. I hope many people would use this.I also hope it will spread around the world,��� Brito said.�",dengue
